股票代码,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
000001,0,0,0,0.0,0,0
000002,0,0,0,0.0,0,0
000004,0,0,0,0.0,0,0
000006,0,0,0,0.0,0,0
000007,4,2,2,50.0,0,0
000008,0,0,0,0.0,0,0
000009,0,0,0,0.0,0,0
000010,1,0,1,0.0,0,0
000011,0,0,0,0.0,0,0
000012,0,0,0,0.0,0,0
000014,0,0,0,0.0,0,0
000016,0,0,0,0.0,0,0
000017,1,0,1,0.0,0,0
000019,1,0,1,0.0,0,0
000020,0,0,0,0.0,0,0
000021,2,1,1,50.0,0,0
000025,1,0,1,0.0,0,0
000026,0,0,0,0.0,0,0
000027,0,0,0,0.0,0,0
000028,1,0,1,0.0,0,0
000029,0,0,0,0.0,0,0
000030,0,0,0,0.0,0,0
000031,2,0,2,0.0,0,0
000032,2,0,2,0.0,0,0
000034,0,0,0,0.0,0,0
000035,2,0,2,0.0,0,0
000036,2,1,1,50.0,0,0
000037,0,0,0,0.0,0,0
000039,1,1,0,100.0,0,0
000042,1,0,1,0.0,0,0
000045,0,0,0,0.0,0,0
000048,0,0,0,0.0,0,0
000049,0,0,0,0.0,0,0
000050,0,0,0,0.0,0,0
000055,0,0,0,0.0,0,0
000056,0,0,0,0.0,0,0
000058,0,0,0,0.0,0,0
000059,2,1,1,50.0,0,0
000060,0,0,0,0.0,0,0
000061,0,0,0,0.0,0,0
000062,0,0,0,0.0,0,0
000063,0,0,0,0.0,0,0
000065,2,0,2,0.0,0,0
000066,0,0,0,0.0,0,0
000068,0,0,0,0.0,0,0
000069,0,0,0,0.0,0,0
000070,0,0,0,0.0,0,0
000078,2,1,1,50.0,0,0
000088,0,0,0,0.0,0,0
000089,0,0,0,0.0,0,0
000090,1,0,1,0.0,0,0
000096,1,0,1,0.0,0,0
000099,1,0,1,0.0,0,0
000100,1,1,0,100.0,0,0
000151,0,0,0,0.0,0,0
000153,0,0,0,0.0,0,0
000155,3,1,2,33.33,0,0
000156,0,0,0,0.0,0,0
000157,1,0,1,0.0,0,0
000158,0,0,0,0.0,0,0
000159,4,2,2,50.0,0,0
000166,0,0,0,0.0,0,0
000301,2,0,2,0.0,0,0
000333,0,0,0,0.0,0,0
000338,1,0,1,0.0,0,0
000400,1,1,0,100.0,0,0
000401,2,1,1,50.0,0,0
000402,0,0,0,0.0,0,0
000403,0,0,0,0.0,0,0
000404,0,0,0,0.0,0,0
000407,0,0,0,0.0,0,0
000408,0,0,0,0.0,0,0
000409,0,0,0,0.0,0,0
000410,0,0,0,0.0,0,0
000411,1,0,1,0.0,0,0
000415,2,1,1,50.0,0,0
000417,2,1,1,50.0,0,0
000419,2,0,2,0.0,0,0
000420,1,0,1,0.0,0,0
000421,0,0,0,0.0,0,0
000422,2,0,2,0.0,0,0
000423,4,2,2,50.0,0,0
000425,0,0,0,0.0,0,0
000426,3,1,2,33.33,0,0
000428,0,0,0,0.0,0,0
000429,1,1,0,100.0,0,0
000430,0,0,0,0.0,0,0
000488,0,0,0,0.0,0,0
000498,0,0,0,0.0,0,0
000501,0,0,0,0.0,0,0
000503,0,0,0,0.0,0,0
000504,1,1,0,100.0,0,0
000505,2,0,2,0.0,0,0
000506,3,2,1,66.67,0,0
000507,0,0,0,0.0,0,0
000509,1,0,1,0.0,0,0
000510,1,1,0,100.0,0,0
000513,0,0,0,0.0,0,0
000514,0,0,0,0.0,0,0
000516,2,0,2,0.0,0,0
000517,2,0,2,0.0,0,0
000518,3,2,1,66.67,0,0
000519,2,1,1,50.0,0,0
000520,0,0,0,0.0,0,0
000521,0,0,0,0.0,0,0
000523,1,0,1,0.0,0,0
000524,1,0,1,0.0,0,0
000525,0,0,0,0.0,0,0
000526,0,0,0,0.0,0,0
000528,0,0,0,0.0,0,0
000529,0,0,0,0.0,0,0
000530,1,1,0,100.0,0,0
000531,0,0,0,0.0,0,0
000532,0,0,0,0.0,0,0
000533,3,1,2,33.33,0,0
000534,2,0,2,0.0,0,0
000536,0,0,0,0.0,0,0
000537,0,0,0,0.0,0,0
000538,0,0,0,0.0,0,0
000539,0,0,0,0.0,0,0
000541,0,0,0,0.0,0,0
000543,2,1,1,50.0,0,0
000544,2,0,2,0.0,0,0
000545,0,0,0,0.0,0,0
000546,0,0,0,0.0,0,0
000547,2,0,2,0.0,0,0
000548,0,0,0,0.0,0,0
000550,0,0,0,0.0,0,0
000551,0,0,0,0.0,0,0
000552,0,0,0,0.0,0,0
000553,0,0,0,0.0,0,0
000554,1,1,0,100.0,0,0
000555,2,0,2,0.0,0,0
000557,0,0,0,0.0,0,0
000558,0,0,0,0.0,0,0
000559,2,0,2,0.0,0,0
000560,3,1,2,33.33,0,0
000561,1,0,1,0.0,0,0
000563,0,0,0,0.0,0,0
000564,0,0,0,0.0,0,0
000565,0,0,0,0.0,0,0
000566,2,1,1,50.0,0,0
000567,0,0,0,0.0,0,0
000568,0,0,0,0.0,0,0
000570,1,0,1,0.0,0,0
000571,2,1,1,50.0,0,0
000572,0,0,0,0.0,0,0
000573,0,0,0,0.0,0,0
000576,0,0,0,0.0,0,0
000581,2,0,2,0.0,0,0
000582,3,2,1,66.67,0,0
000586,1,0,1,0.0,0,0
