股票代码,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
000001,0,0,0,0.0,0.0,0.0
000002,0,0,0,0.0,0.0,0.0
000004,0,0,0,0.0,0.0,0.0
000006,0,0,0,0.0,0.0,0.0
000007,2,2,0,100.0,2.5429,3.0
000008,2,2,0,100.0,0.3693,1.0
000009,2,1,1,50.0,-0.2333,1.0
000010,2,1,1,50.0,0.2413,1.0
000011,0,0,0,0.0,0.0,0.0
000012,0,0,0,0.0,0.0,0.0
000014,3,2,1,66.67,5.0547,3.33
000016,0,0,0,0.0,0.0,0.0
000017,2,0,2,0.0,-1.4345,1.0
000019,1,1,0,100.0,1.6636,1.0
000020,4,3,1,75.0,-0.2898,1.0
000021,4,0,4,0.0,-1.9028,1.0
000025,1,1,0,100.0,1.1829,1.0
000026,1,0,1,0.0,-4.1332,1.0
000027,1,0,1,0.0,-0.9126,1.0
000028,0,0,0,0.0,0.0,0.0
000029,2,1,1,50.0,0.5401,1.0
000030,1,0,1,0.0,-2.0407,1.0
000031,0,0,0,0.0,0.0,0.0
000032,2,1,1,50.0,-0.8519,1.0
000034,2,1,1,50.0,0.2963,1.5
000035,3,2,1,66.67,0.5633,1.0
000036,2,1,1,50.0,-0.8868,2.5
000037,2,2,0,100.0,1.4308,1.0
000039,3,1,2,33.33,-0.115,1.0
000042,3,1,2,33.33,-0.4233,2.33
000045,2,0,2,0.0,-2.0552,1.0
000048,1,0,1,0.0,-5.8319,1.0
000049,0,0,0,0.0,0.0,0.0
000050,1,0,1,0.0,-2.1215,1.0
000055,0,0,0,0.0,0.0,0.0
000056,2,0,2,0.0,-3.7031,1.0
000058,1,0,1,0.0,-3.5827,1.0
000059,0,0,0,0.0,0.0,0.0
000060,0,0,0,0.0,0.0,0.0
000061,1,1,0,100.0,1.8555,1.0
000062,1,0,1,0.0,-2.3002,1.0
000063,1,0,1,0.0,-4.3339,1.0
000065,1,0,1,0.0,-1.249,1.0
000066,2,0,2,0.0,-3.0283,1.0
000068,0,0,0,0.0,0.0,0.0
000069,0,0,0,0.0,0.0,0.0
000070,2,1,1,50.0,-2.9229,1.0
000078,2,2,0,100.0,4.8421,2.5
000088,0,0,0,0.0,0.0,0.0
000089,1,1,0,100.0,0.5776,1.0
000090,0,0,0,0.0,0.0,0.0
000096,1,0,1,0.0,-0.6593,1.0
000099,0,0,0,0.0,0.0,0.0
000100,3,2,1,66.67,-0.1207,1.0
000151,1,0,1,0.0,-4.3647,1.0
000153,0,0,0,0.0,0.0,0.0
000155,3,2,1,66.67,1.2733,1.0
000156,1,0,1,0.0,-0.69,1.0
000157,2,1,1,50.0,0.0082,1.0
000158,0,0,0,0.0,0.0,0.0
000159,2,0,2,0.0,-1.7043,1.0
000166,1,0,1,0.0,-1.6135,1.0
000301,1,0,1,0.0,-0.5678,1.0
000333,3,1,2,33.33,-0.4485,1.0
000338,4,3,1,75.0,0.2815,1.25
000400,2,1,1,50.0,0.9042,1.0
000401,1,0,1,0.0,-1.0991,1.0
000402,1,1,0,100.0,1.8979,1.0
000403,1,0,1,0.0,-0.5116,1.0
000404,0,0,0,0.0,0.0,0.0
000407,2,2,0,100.0,0.2079,1.0
000408,4,4,0,100.0,0.3531,1.0
000409,2,1,1,50.0,-1.88,1.0
000410,1,0,1,0.0,-1.3684,1.0
000411,0,0,0,0.0,0.0,0.0
000415,0,0,0,0.0,0.0,0.0
000417,2,1,1,50.0,0.3257,2.0
000419,1,1,0,100.0,1.5756,1.0
000420,4,3,1,75.0,0.2091,1.0
000421,1,0,1,0.0,-0.4025,1.0
000422,3,2,1,66.67,1.3777,2.33
000423,2,0,2,0.0,-0.8758,1.0
000425,1,1,0,100.0,0.0578,1.0
000426,1,0,1,0.0,-2.1098,1.0
000428,2,1,1,50.0,0.2946,1.0
000429,1,0,1,0.0,-1.2795,1.0
000430,3,2,1,66.67,0.3673,1.0
000488,2,0,2,0.0,-2.1427,1.0
000498,1,0,1,0.0,-0.4529,1.0
000501,0,0,0,0.0,0.0,0.0
000503,0,0,0,0.0,0.0,0.0
000504,0,0,0,0.0,0.0,0.0
000505,1,0,1,0.0,-1.1557,1.0
000506,7,5,2,71.43,2.7555,1.86
000507,1,1,0,100.0,2.355,3.0
000509,0,0,0,0.0,0.0,0.0
000510,1,0,1,0.0,-2.8802,2.0
000513,1,0,1,0.0,-0.4671,1.0
000514,2,0,2,0.0,-2.7626,1.0
000516,2,0,2,0.0,-1.5263,1.0
