股票代码,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
000001,20,6,14,30.0,0.2205,1.0
000002,0,0,0,0.0,0.0,0.0
000004,5,2,3,40.0,0.3079,1.4
000006,4,2,2,50.0,2.2466,1.5
000007,12,11,1,91.67,1.2163,1.25
000008,12,5,7,41.67,-0.6193,1.0
000009,9,4,5,44.44,0.0608,1.22
000010,5,2,3,40.0,-0.6574,1.4
000011,8,2,6,25.0,-0.2759,1.12
000012,3,1,2,33.33,0.3653,1.0
000014,5,3,2,60.0,4.8709,1.6
000016,4,3,1,75.0,0.254,1.0
000017,6,4,2,66.67,0.879,1.33
000019,11,7,4,63.64,0.1687,1.0
000020,7,5,2,71.43,-0.1333,1.0
000021,17,6,11,35.29,0.5155,1.47
000025,4,1,3,25.0,-0.0332,1.0
000026,7,0,7,0.0,-2.8351,1.0
000027,11,5,6,45.45,0.6688,1.18
000028,6,2,4,33.33,-0.1123,1.0
000029,11,7,4,63.64,-0.124,1.18
000030,10,6,4,60.0,0.1216,1.0
000031,7,3,4,42.86,-0.4577,1.0
000032,4,1,3,25.0,-3.034,1.0
000034,8,4,4,50.0,0.6965,1.38
000035,5,3,2,60.0,1.0317,1.2
000036,9,6,3,66.67,2.2569,1.67
000037,7,2,5,28.57,0.4558,1.29
000039,15,9,6,60.0,1.6645,1.33
000042,16,6,10,37.5,-0.7821,1.12
000045,8,2,6,25.0,-0.4383,1.0
000048,7,1,6,14.29,-1.8125,1.0
000049,10,4,6,40.0,-0.6956,1.0
000050,9,4,5,44.44,-0.1632,1.0
000055,14,6,8,42.86,-1.2628,1.0
000056,2,1,1,50.0,-0.3909,1.0
000058,4,1,3,25.0,-0.8473,1.0
000059,10,4,6,40.0,-1.4744,1.0
000060,10,4,6,40.0,1.8123,1.4
000061,6,1,5,16.67,-0.6935,1.0
000062,7,6,1,85.71,0.4967,1.14
000063,5,3,2,60.0,-0.7888,1.0
000065,10,2,8,20.0,-1.7949,1.0
000066,7,0,7,0.0,-2.3157,1.0
000068,4,2,2,50.0,0.1743,1.0
000069,7,1,6,14.29,-1.5432,1.0
000070,13,5,8,38.46,-0.3724,1.08
000078,5,2,3,40.0,1.8029,1.4
000088,8,2,6,25.0,-1.5223,1.0
000089,12,7,5,58.33,-0.1369,1.0
000090,3,3,0,100.0,1.5068,1.0
000096,3,1,2,33.33,-0.0485,1.0
000099,2,2,0,100.0,1.632,1.5
000100,11,6,5,54.55,-0.2993,1.0
000151,4,1,3,25.0,-0.9442,1.0
000153,6,5,1,83.33,1.0559,1.17
000155,14,7,7,50.0,-0.5757,1.0
000156,7,5,2,71.43,1.2569,1.29
000157,16,11,5,68.75,0.507,1.31
000158,4,2,2,50.0,2.365,1.5
000159,6,2,4,33.33,-0.6665,1.0
000166,9,4,5,44.44,-0.5717,1.0
000301,6,5,1,83.33,1.3315,1.17
000333,15,4,11,26.67,-0.5762,1.0
000338,15,7,8,46.67,-0.6078,1.13
000400,11,6,5,54.55,0.3054,1.27
000401,2,1,1,50.0,-0.2298,1.0
000402,6,4,2,66.67,0.9214,1.0
000403,4,1,3,25.0,-1.4033,1.0
000404,7,4,3,57.14,-0.1627,1.0
000407,17,9,8,52.94,0.2061,1.24
000408,19,12,7,63.16,1.1553,1.26
000409,3,2,1,66.67,-0.7058,1.0
000410,7,3,4,42.86,-0.4786,1.14
000411,6,0,6,0.0,-0.8716,1.0
000415,8,6,2,75.0,2.4579,1.25
