股票代码,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
000001,20,6,14,30.0,-0.7331,2.3
000002,0,0,0,0.0,0.0,0.0
000004,5,2,3,40.0,-0.033,1.8
000006,4,3,1,75.0,2.9832,2.0
000007,12,7,5,58.33,0.6935,2.75
000008,12,3,9,25.0,-0.9204,2.08
000009,9,2,7,22.22,-0.2065,2.11
000010,5,1,4,20.0,-0.8991,2.4
000011,8,2,6,25.0,-0.643,2.25
000012,3,1,2,33.33,0.1571,2.33
000014,5,4,1,80.0,5.63,2.8
000016,4,2,2,50.0,0.3034,2.25
000017,6,3,3,50.0,0.6276,2.17
000019,11,5,6,45.45,-0.4479,2.55
000020,7,2,5,28.57,1.8519,2.71
000021,17,8,9,47.06,0.6931,2.24
000025,4,1,3,25.0,0.0211,2.75
000026,7,2,5,28.57,-1.8408,2.0
000027,11,4,7,36.36,0.4527,2.27
000028,5,1,4,20.0,-0.1001,1.8
000029,11,5,6,45.45,0.9767,2.27
000030,10,3,7,30.0,0.2029,2.3
000031,7,2,5,28.57,-1.3652,2.0
000032,4,1,3,25.0,-5.5406,2.5
000034,8,2,6,25.0,-0.6103,2.0
000035,5,4,1,80.0,5.1877,2.8
000036,9,6,3,66.67,2.3821,2.56
000037,7,4,3,57.14,0.9428,2.57
000039,15,9,6,60.0,2.5672,2.67
000042,16,6,10,37.5,-0.7581,2.19
000045,8,3,5,37.5,-0.9606,2.62
000048,7,2,5,28.57,-2.1556,1.71
000049,10,2,8,20.0,-1.1622,2.4
000050,9,4,5,44.44,-0.2806,2.67
000055,14,3,11,21.43,-1.4484,1.79
000056,2,0,2,0.0,-2.7977,2.0
000058,4,1,3,25.0,-0.4506,1.75
000059,10,3,7,30.0,-2.1116,1.9
000060,10,5,5,50.0,1.7899,2.5
000061,6,2,4,33.33,0.0665,2.17
000062,7,5,2,71.43,2.3179,2.29
000063,5,2,3,40.0,-2.1845,2.4
000065,10,2,8,20.0,-1.5488,1.8
000066,7,0,7,0.0,-3.6387,1.57
000068,4,0,4,0.0,-0.7165,2.0
000069,7,2,5,28.57,-1.8577,2.43
000070,13,3,10,23.08,-0.3559,1.69
000078,4,2,2,50.0,3.15,2.75
000088,8,1,7,12.5,-2.0123,2.25
000089,12,5,7,41.67,-0.0466,1.92
000090,3,3,0,100.0,4.6937,3.0
000096,3,1,2,33.33,-0.0655,2.33
000099,2,2,0,100.0,1.8655,2.5
000100,11,3,8,27.27,-0.5038,2.27
000151,4,1,3,25.0,-0.7743,2.75
000153,6,4,2,66.67,0.2483,2.5
000155,14,8,6,57.14,1.2972,2.29
000156,7,4,3,57.14,1.1933,2.43
000157,16,6,10,37.5,-0.2928,2.19
000158,4,3,1,75.0,3.4598,2.5
000159,6,4,2,66.67,0.4205,2.33
000166,9,1,8,11.11,-1.0156,1.78
000301,6,4,2,66.67,1.4246,2.5
000333,15,4,11,26.67,-0.4362,2.13
000338,15,5,10,33.33,0.0886,2.07
000400,11,7,4,63.64,0.6794,2.91
000401,2,2,0,100.0,0.0729,2.5
000402,6,3,3,50.0,0.6075,2.33
000403,4,0,4,0.0,-1.5409,1.5
000404,7,3,4,42.86,-0.2639,1.86
000407,17,7,10,41.18,0.0961,2.24
000408,19,10,9,52.63,1.0219,2.32
000409,3,2,1,66.67,-1.2096,2.33
000410,7,3,4,42.86,-0.4665,2.43
000411,6,2,4,33.33,-2.6123,2.33
000415,8,6,2,75.0,3.667,2.62
000417,9,3,6,33.33,-0.8474,2.0
000419,17,8,9,47.06,-1.0783,2.18
000420,5,3,2,60.0,2.4892,2.6
000421,8,2,6,25.0,-0.5218,2.12
000422,8,5,3,62.5,1.8906,2.62
000423,10,0,10,0.0,-1.3709,1.9
000425,14,5,9,35.71,-0.5739,2.07
000426,15,8,7,53.33,3.5752,2.53
000428,7,2,5,28.57,-0.0974,2.14
000429,10,6,4,60.0,0.6088,2.5
000430,15,4,11,26.67,0.122,2.27
000488,8,2,6,25.0,0.9399,2.12
000498,11,3,8,27.27,-0.6892,2.0
000501,5,2,3,40.0,3.4954,2.0
000503,3,1,2,33.33,-1.6169,2.0
000504,5,2,3,40.0,-0.7767,2.2
000505,14,2,12,14.29,-1.5291,1.93
000506,22,13,9,59.09,1.7579,2.45
000507,10,5,5,50.0,-1.529,2.0
000509,8,4,4,50.0,-0.3371,2.12
000510,9,2,7,22.22,-2.8108,1.78
000513,3,1,2,33.33,-1.6206,2.33
000514,7,2,5,28.57,-1.7148,2.14
000516,3,1,2,33.33,-0.2693,2.0
000517,5,2,3,40.0,0.3177,2.4
000518,6,3,3,50.0,0.82,2.33
000519,8,4,4,50.0,0.2614,2.12
000520,6,0,6,0.0,-1.7524,1.83
000521,4,1,3,25.0,0.4765,2.25
000523,4,0,4,0.0,-1.9606,2.0
000524,9,2,7,22.22,-1.6073,1.67
000525,4,2,2,50.0,-0.1749,2.0
000526,6,4,2,66.67,0.5576,2.67
000528,6,4,2,66.67,0.2806,2.33
000529,16,4,12,25.0,-0.7847,2.06
000530,12,7,5,58.33,0.2396,2.0
000531,8,4,4,50.0,-0.38,2.25
000532,7,2,5,28.57,-1.0444,2.14
000533,9,5,4,55.56,0.7295,2.78
000534,16,6,10,37.5,-0.0834,2.31
000536,2,2,0,100.0,6.6883,2.5
000537,6,2,4,33.33,-0.1246,2.0
000538,11,0,11,0.0,-1.0721,1.91
000539,9,4,5,44.44,-0.5384,2.0
000541,11,5,6,45.45,0.1689,2.18
000543,11,4,7,36.36,-0.6172,2.09
000544,9,2,7,22.22,-0.3177,2.11
000545,8,4,4,50.0,-0.1653,2.12
000546,9,6,3,66.67,0.4215,2.11
000547,8,3,5,37.5,-0.8703,2.25
000548,16,6,10,37.5,-0.4286,2.12
000550,8,0,8,0.0,-2.3365,1.62
000551,14,4,10,28.57,-1.4633,2.14
000552,9,5,4,55.56,0.2901,2.22
000553,4,2,2,50.0,-0.219,2.5
000554,12,4,8,33.33,-0.1159,2.42
000555,12,3,9,25.0,-1.4373,2.08
000557,6,2,4,33.33,-2.1837,2.67
000558,9,5,4,55.56,3.9936,2.67
000559,8,3,5,37.5,0.2467,2.12
000560,3,0,3,0.0,-3.411,2.0
000561,9,3,6,33.33,-1.4972,1.78
000563,14,5,9,35.71,-0.2508,2.21
000564,5,2,3,40.0,0.1367,2.0
000565,5,1,4,20.0,-1.7265,2.2
000566,5,2,3,40.0,-1.2223,2.4
000567,3,1,2,33.33,-5.3845,2.33
000568,13,4,9,30.77,-1.494,2.08
000570,8,3,5,37.5,-0.1919,2.38
000571,17,11,6,64.71,0.5185,2.29
000572,5,1,4,20.0,-3.0051,2.2
