股票代码,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
000001,0,0,0,0.0,0.0,0.0
000002,0,0,0,0.0,0.0,0.0
000004,1,0,1,0.0,-2.644,1.0
000006,1,0,1,0.0,-6.5523,3.0
000007,0,0,0,0.0,0.0,0.0
000008,0,0,0,0.0,0.0,0.0
000009,0,0,0,0.0,0.0,0.0
000010,4,4,0,100.0,2.1186,1.5
000011,1,1,0,100.0,0.6076,1.0
000012,0,0,0,0.0,0.0,0.0
000014,1,0,1,0.0,-1.3412,1.0
000016,0,0,0,0.0,0.0,0.0
000017,0,0,0,0.0,0.0,0.0
000019,1,1,0,100.0,1.6636,1.0
000020,0,0,0,0.0,0.0,0.0
000021,0,0,0,0.0,0.0,0.0
000025,0,0,0,0.0,0.0,0.0
000026,0,0,0,0.0,0.0,0.0
000027,0,0,0,0.0,0.0,0.0
000028,0,0,0,0.0,0.0,0.0
000029,1,1,0,100.0,2.511,2.0
000030,1,0,1,0.0,-2.3085,1.0
000031,0,0,0,0.0,0.0,0.0
000032,0,0,0,0.0,0.0,0.0
000034,2,2,0,100.0,0.5562,2.5
000035,1,1,0,100.0,1.2189,1.0
000036,0,0,0,0.0,0.0,0.0
000037,1,1,0,100.0,28.1934,5.0
000039,1,0,1,0.0,-0.1199,1.0
000042,0,0,0,0.0,0.0,0.0
000045,0,0,0,0.0,0.0,0.0
000048,0,0,0,0.0,0.0,0.0
000049,0,0,0,0.0,0.0,0.0
000050,0,0,0,0.0,0.0,0.0
000055,1,0,1,0.0,-0.559,2.0
000056,0,0,0,0.0,0.0,0.0
000058,0,0,0,0.0,0.0,0.0
000059,0,0,0,0.0,0.0,0.0
000060,0,0,0,0.0,0.0,0.0
000061,0,0,0,0.0,0.0,0.0
000062,0,0,0,0.0,0.0,0.0
000063,0,0,0,0.0,0.0,0.0
000065,0,0,0,0.0,0.0,0.0
000066,0,0,0,0.0,0.0,0.0
000068,0,0,0,0.0,0.0,0.0
000069,0,0,0,0.0,0.0,0.0
000070,0,0,0,0.0,0.0,0.0
000078,1,1,0,100.0,8.9601,4.0
000088,0,0,0,0.0,0.0,0.0
000089,0,0,0,0.0,0.0,0.0
000090,0,0,0,0.0,0.0,0.0
000096,0,0,0,0.0,0.0,0.0
000099,1,1,0,100.0,30.3466,4.0
000100,0,0,0,0.0,0.0,0.0
000151,0,0,0,0.0,0.0,0.0
000153,0,0,0,0.0,0.0,0.0
000155,0,0,0,0.0,0.0,0.0
000156,0,0,0,0.0,0.0,0.0
000157,0,0,0,0.0,0.0,0.0
000158,0,0,0,0.0,0.0,0.0
000159,0,0,0,0.0,0.0,0.0
000166,0,0,0,0.0,0.0,0.0
000301,0,0,0,0.0,0.0,0.0
000333,0,0,0,0.0,0.0,0.0
000338,1,1,0,100.0,0.175,2.0
000400,1,1,0,100.0,4.2732,5.0
000401,0,0,0,0.0,0.0,0.0
000402,1,0,1,0.0,-0.1199,3.0
000403,0,0,0,0.0,0.0,0.0
000404,0,0,0,0.0,0.0,0.0
000407,0,0,0,0.0,0.0,0.0
000408,0,0,0,0.0,0.0,0.0
000409,1,1,0,100.0,14.5273,3.0
000410,0,0,0,0.0,0.0,0.0
000411,0,0,0,0.0,0.0,0.0
000415,0,0,0,0.0,0.0,0.0
000417,0,0,0,0.0,0.0,0.0
000419,0,0,0,0.0,0.0,0.0
000420,1,1,0,100.0,5.721,4.0
000421,0,0,0,0.0,0.0,0.0
000422,1,0,1,0.0,-2.7561,1.0
000423,0,0,0,0.0,0.0,0.0
000425,0,0,0,0.0,0.0,0.0
000426,0,0,0,0.0,0.0,0.0
000428,1,0,1,0.0,-2.4029,1.0
000429,0,0,0,0.0,0.0,0.0
000430,0,0,0,0.0,0.0,0.0
000488,0,0,0,0.0,0.0,0.0
000498,1,0,1,0.0,-2.3362,3.0
000501,0,0,0,0.0,0.0,0.0
000503,1,1,0,100.0,4.0802,5.0
000504,1,1,0,100.0,12.2201,10.0
000505,0,0,0,0.0,0.0,0.0
000506,4,4,0,100.0,5.8369,2.75
000507,0,0,0,0.0,0.0,0.0
000509,0,0,0,0.0,0.0,0.0
000510,1,0,1,0.0,-2.8802,2.0
000513,0,0,0,0.0,0.0,0.0
000514,1,0,1,0.0,-2.3939,1.0
000516,1,0,1,0.0,-1.1167,1.0
000517,0,0,0,0.0,0.0,0.0
000518,0,0,0,0.0,0.0,0.0
000519,0,0,0,0.0,0.0,0.0
000520,1,1,0,100.0,5.2923,4.0
000521,1,1,0,100.0,18.0672,6.0
000523,0,0,0,0.0,0.0,0.0
