股票代码,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
300268,0,0,0,0.0,0.0,0.0
600935,0,0,0,0.0,0.0,0.0
301176,0,0,0,0.0,0.0,0.0
603596,0,0,0,0.0,0.0,0.0
301162,0,0,0,0.0,0.0,0.0
300254,0,0,0,0.0,0.0,0.0
600909,0,0,0,0.0,0.0,0.0
300532,0,0,0,0.0,0.0,0.0
688599,0,0,0,0.0,0.0,0.0
300240,0,0,0,0.0,0.0,0.0
002389,0,0,0,0.0,0.0,0.0
920030,0,0,0,0.0,0.0,0.0
002362,0,0,0,0.0,0.0,0.0
603227,0,0,0,0.0,0.0,0.0
002404,0,0,0,0.0,0.0,0.0
600048,0,0,0,0.0,0.0,0.0
002410,0,0,0,0.0,0.0,0.0
920971,0,0,0,0.0,0.0,0.0
688566,0,0,0,0.0,0.0,0.0
603233,0,0,0,0.0,0.0,0.0
688200,1,0,1,0.0,-0.8241,2.0
000561,0,0,0,0.0,0.0,0.0
002376,0,0,0,0.0,0.0,0.0
688228,1,0,1,0.0,-5.9474,3.0
003040,1,1,0,100.0,11.493,3.0
301189,1,1,0,100.0,2.5606,3.0
600712,0,0,0,0.0,0.0,0.0
002438,0,0,0,0.0,0.0,0.0
920781,0,0,0,0.0,0.0,0.0
605118,0,0,0,0.0,0.0,0.0
603569,0,0,0,0.0,0.0,0.0
600060,0,0,0,0.0,0.0,0.0
600706,0,0,0,0.0,0.0,0.0
300283,0,0,0,0.0,0.0,0.0
603958,0,0,0,0.0,0.0,0.0
600289,2,1,1,50.0,5.3456,2.0
000978,0,0,0,0.0,0.0,0.0
301360,0,0,0,0.0,0.0,0.0
300718,0,0,0,0.0,0.0,0.0
002809,0,0,0,0.0,0.0,0.0
300730,0,0,0,0.0,0.0,0.0
002821,0,0,0,0.0,0.0,0.0
000950,0,0,0,0.0,0.0,0.0
000788,0,0,0,0.0,0.0,0.0
301348,0,0,0,0.0,0.0,0.0
300056,0,0,0,0.0,0.0,0.0
601801,0,0,0,0.0,0.0,0.0
300042,0,0,0,0.0,0.0,0.0
603970,0,0,0,0.0,0.0,0.0
