日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-30,600008,2.52,2.48,2.52,2.44,497841,153460509.0,3.17,-1.59,-0.04,0.68
2021-03-31,600008,2.49,2.66,2.79,2.48,2231637,722554256.0,12.5,7.26,0.18,3.04
2021-04-01,600008,2.59,2.55,2.6,2.52,1188969,376268752.0,3.01,-4.14,-0.11,1.62
2021-04-02,600008,2.54,2.48,2.55,2.47,745488,232256891.0,3.14,-2.75,-0.07,1.02
2021-04-06,600008,2.49,2.5,2.51,2.46,411926,127791159.0,2.02,0.81,0.02,0.56
2021-04-07,600008,2.49,2.51,2.52,2.48,492039,152950548.0,1.6,0.4,0.01,0.67
2021-04-08,600008,2.53,2.56,2.58,2.49,1011696,318623632.0,3.59,1.99,0.05,1.38
2021-04-09,600008,2.54,2.49,2.57,2.47,681228,212342302.0,3.91,-2.73,-0.07,0.93
2021-04-12,600008,2.51,2.47,2.52,2.46,477908,147912980.0,2.41,-0.8,-0.02,0.65
2021-04-13,600008,2.47,2.53,2.57,2.42,870507,271085824.0,6.07,2.43,0.06,1.19
2021-04-14,600008,2.5,2.49,2.51,2.47,456108,141340389.0,1.58,-1.58,-0.04,0.62
2021-04-15,600008,2.48,2.44,2.49,2.42,480014,147011660.0,2.81,-2.01,-0.05,0.65
2021-04-16,600008,2.46,2.47,2.49,2.43,327170,100690415.0,2.46,1.23,0.03,0.45
2021-04-19,600008,2.5,2.48,2.5,2.46,370483,114664013.0,1.62,0.4,0.01,0.5
2021-04-20,600008,2.47,2.44,2.48,2.43,417539,127928591.0,2.02,-1.61,-0.04,0.57
2021-04-21,600008,2.43,2.41,2.44,2.4,330894,100116965.0,1.64,-1.23,-0.03,0.45
2021-04-22,600008,2.42,2.39,2.44,2.39,310667,93751753.0,2.07,-0.83,-0.02,0.42
2021-04-23,600008,2.39,2.37,2.39,2.35,354733,105565286.0,1.67,-0.84,-0.02,0.48
2021-04-26,600008,2.37,2.33,2.38,2.32,313464,92768519.0,2.53,-1.69,-0.04,0.43
2021-04-27,600008,2.32,2.35,2.38,2.32,374371,110787911.0,2.58,0.86,0.02,0.51
2021-04-28,600008,2.34,2.35,2.37,2.33,254737,75437828.0,1.7,0.0,0.0,0.35
2021-04-29,600008,2.37,2.4,2.42,2.35,344146,103169811.0,2.98,2.13,0.05,0.47
2021-04-30,600008,2.42,2.36,2.43,2.34,359933,107315658.0,3.75,-1.67,-0.04,0.49
2021-05-06,600008,2.37,2.35,2.4,2.34,351300,104609844.0,2.54,-0.42,-0.01,0.48
2021-05-07,600008,2.36,2.35,2.38,2.33,301253,89252506.0,2.13,0.0,0.0,0.41
2021-05-10,600008,2.35,2.33,2.38,2.32,404807,119849505.0,2.55,-0.85,-0.02,0.55
2021-05-11,600008,2.33,2.37,2.37,2.32,261469,77296027.0,2.15,1.72,0.04,0.36
2021-05-12,600008,2.35,2.35,2.37,2.33,302175,89424661.0,1.69,-0.84,-0.02,0.41
2021-05-13,600008,2.35,2.36,2.37,2.33,302307,89638644.0,1.7,0.43,0.01,0.41
