股票代码,收益率(%),总交易次数,盈利次数,亏损次数,单次交易胜率(%)
000001,-16.64,28,10,18,35.71
000002,-4.37,4,2,2,50.0
000004,-4.34,6,3,3,50.0
000006,42.62,12,6,6,50.0
000007,15.17,18,11,7,61.11
000008,-12.18,17,5,12,29.41
000009,-7.4,13,2,11,15.38
000010,14.44,17,8,9,47.06
000011,-7.35,10,2,8,20.0
000012,4.99,4,2,2,50.0
000014,31.04,15,9,6,60.0
000016,-8.68,8,2,6,25.0
000017,15.34,12,6,6,50.0
000019,-17.6,17,5,12,29.41
000020,1.53,12,4,8,33.33
000021,-9.6,23,9,14,39.13
000025,-10.14,10,2,8,20.0
000026,-20.87,11,3,8,27.27
000027,-2.47,16,6,10,37.5
000028,-3.93,9,2,7,22.22
000029,0.93,16,8,8,50.0
000030,1.62,13,5,8,38.46
000031,-9.04,11,3,8,27.27
000032,-21.11,8,3,5,37.5
000034,-8.0,11,3,8,27.27
000035,14.42,13,7,6,53.85
000036,36.9,13,8,5,61.54
000037,-2.42,14,8,6,57.14
000039,32.3,22,10,12,45.45
000042,-11.34,21,8,13,38.1
000045,-9.17,15,4,11,26.67
000048,-8.15,11,2,9,18.18
000049,-15.89,14,3,11,21.43
000050,-1.71,10,5,5,50.0
000055,-21.79,22,6,16,27.27
000056,-21.91,6,1,5,16.67
000058,-2.59,9,3,6,33.33
000059,-18.7,17,6,11,35.29
000060,29.21,14,7,7,50.0
000061,-14.28,11,2,9,18.18
000062,11.78,13,7,6,53.85
000063,-16.59,10,3,7,30.0
000065,-16.72,20,5,15,25.0
000066,-21.45,12,2,10,16.67
000068,-8.21,6,0,6,0.0
000069,-16.69,10,2,8,20.0
000070,-2.19,23,8,15,34.78
000078,9.87,6,3,3,50.0
000088,-14.04,7,1,6,14.29
000089,-1.45,15,7,8,46.67
000090,11.49,5,3,2,60.0
000096,15.56,8,3,5,37.5
000099,-1.9,4,2,2,50.0
000100,-9.12,15,3,12,20.0
000151,-10.5,6,1,5,16.67
000153,-2.03,7,3,4,42.86
000155,0.77,21,10,11,47.62
000156,-1.8,14,5,9,35.71
000157,-13.36,25,8,17,32.0
000158,10.94,5,3,2,60.0
000159,-7.21,10,6,4,60.0
000166,-9.75,11,2,9,18.18
000301,-4.23,11,5,6,45.45
000333,-11.33,22,5,17,22.73
000338,-7.79,20,6,14,30.0
000400,3.61,13,7,6,53.85
000401,-5.39,9,2,7,22.22
000402,2.66,6,3,3,50.0
000403,-6.57,10,2,8,20.0
000404,-0.85,8,4,4,50.0
000407,31.15,20,8,12,40.0
000408,24.49,27,14,13,51.85
000409,16.61,7,3,4,42.86
000410,-1.1,11,5,6,45.45
000411,-29.68,16,3,13,18.75
000415,28.24,11,7,4,63.64
000417,-10.45,14,4,10,28.57
000419,-22.16,23,9,14,39.13
000420,-10.63,15,4,11,26.67
000421,-16.71,15,4,11,26.67
000422,13.37,14,8,6,57.14
000423,-12.05,14,1,13,7.14
000425,-7.71,19,8,11,42.11
000426,94.85,27,14,13,51.85
000428,4.08,12,5,7,41.67
000429,-9.24,18,6,12,33.33
000430,-0.21,17,5,12,29.41
000488,14.99,12,4,8,33.33
000498,-5.39,13,5,8,38.46
000501,7.37,11,4,7,36.36
000503,-7.22,6,3,3,50.0
000504,-15.13,8,3,5,37.5
000505,-25.77,20,4,16,20.0
000506,100.95,32,18,14,56.25
000507,-19.8,13,5,8,38.46
000509,-19.05,13,5,8,38.46
000510,15.62,22,9,13,40.91
000513,-7.2,6,2,4,33.33
000514,11.07,12,4,8,33.33
000516,-0.76,4,2,2,50.0
000517,-2.07,11,3,8,27.27
000518,5.54,10,5,5,50.0
000519,6.87,20,7,13,35.0
000520,-14.6,11,2,9,18.18
000521,0.62,5,1,4,20.0
000523,-10.47,6,1,5,16.67
000524,2.83,15,5,10,33.33
000525,-6.29,9,3,6,33.33
000526,1.62,7,4,3,57.14
000528,-2.22,11,6,5,54.55
000529,-16.58,21,4,17,19.05
000530,-16.33,24,9,15,37.5
000531,-4.0,13,5,8,38.46
000532,-15.72,13,3,10,23.08
000533,54.52,21,10,11,47.62
000534,-9.09,25,8,17,32.0
000536,-6.97,8,3,5,37.5
000537,12.71,11,6,5,54.55
000538,-9.08,12,1,11,8.33
000539,11.54,11,5,6,45.45
000541,7.06,15,6,9,40.0
000543,-2.49,17,7,10,41.18
000544,-6.29,12,3,9,25.0
000545,-12.02,17,6,11,35.29
000546,18.56,15,6,9,40.0
000547,27.99,14,7,7,50.0
000548,-8.13,20,7,13,35.0
000550,-20.57,10,0,10,0.0
000551,-23.08,18,6,12,33.33
000552,4.51,11,6,5,54.55
000553,-2.33,6,3,3,50.0
000554,13.25,15,7,8,46.67
000555,-18.96,22,7,15,31.82
000557,-12.85,6,2,4,33.33
000558,4.91,19,6,13,31.58
000559,73.11,19,10,9,52.63
000560,-12.45,9,2,7,22.22
000561,20.71,13,5,8,38.46
000563,-2.3,16,6,10,37.5
000564,-11.09,9,3,6,33.33
000565,-11.59,10,3,7,30.0
000566,-1.01,14,6,8,42.86
000567,-6.32,7,4,3,57.14
000568,-18.63,15,5,10,33.33
000570,-14.58,14,4,10,28.57
000571,16.49,23,16,7,69.57
000572,-5.6,13,5,8,38.46
000573,-7.43,15,7,8,46.67
000576,-7.39,12,4,8,33.33
000581,65.58,8,5,3,62.5
000582,23.99,20,10,10,50.0
000586,-21.98,22,9,13,40.91
000589,1.42,15,8,7,53.33
000590,15.34,19,8,11,42.11
000591,-12.08,20,7,13,35.0
000592,81.48,23,14,9,60.87
000593,0.53,22,11,11,50.0
000595,16.76,9,5,4,55.56
000596,-0.31,3,2,1,66.67
000597,-6.49,13,3,10,23.08
000598,-1.38,16,5,11,31.25
000599,-5.25,21,7,14,33.33
000600,-10.64,21,6,15,28.57
000601,-11.01,13,3,10,23.08
000603,30.62,28,12,16,42.86
000605,-18.96,8,2,6,25.0
000607,-5.96,8,3,5,37.5
000608,27.72,17,9,8,52.94
000609,59.12,23,13,10,56.52
000610,-9.2,8,3,5,37.5
000612,17.11,18,12,6,66.67
000615,-10.44,12,3,9,25.0
000617,2.2,8,4,4,50.0
000619,-16.44,11,4,7,36.36
000620,21.7,13,4,9,30.77
000623,-1.84,16,6,10,37.5
000625,1.1,7,3,4,42.86
000626,-16.06,19,5,14,26.32
000628,-10.24,10,2,8,20.0
000629,4.67,18,7,11,38.89
000630,49.97,16,8,8,50.0
000631,2.41,12,5,7,41.67
000632,14.96,18,6,12,33.33
000633,-10.67,16,5,11,31.25
000635,-31.48,19,6,13,31.58
000636,-24.93,24,7,17,29.17
000637,2.45,16,8,8,50.0
000638,-7.05,4,0,4,0.0
000639,-1.71,6,3,3,50.0
000650,17.42,11,4,7,36.36
000651,-4.38,8,2,6,25.0
000652,-8.49,9,2,7,22.22
000655,30.28,22,9,13,40.91
000656,-5.84,8,2,6,25.0
000657,49.91,26,15,11,57.69
000659,-20.2,15,2,13,13.33
000661,-8.24,15,4,11,26.67
000663,-24.3,14,6,8,42.86
000665,-8.21,13,3,10,23.08
000668,55.21,20,11,9,55.0
